Species,Latitude,Longitude,Year,Citation,Notes,Censor
Eurycea wilderae,35.590235,-83.370372,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590235,-83.370372,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587088,-83.363984,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587088,-83.363984,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587088,-83.363984,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607776,-83.437505,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607776,-83.437505,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586784,-83.358102,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575914,-83.342905,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.502769,-83.299567,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.562618,-83.50011,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635349,-83.468245,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635349,-83.468245,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635349,-83.468245,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642315,-83.506178,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629825,-83.450029,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629825,-83.450029,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609926,-83.448611,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609926,-83.448611,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609926,-83.448611,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609926,-83.448611,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598891,-83.401945,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.637508,-83.496739,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.634388,-83.47048,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.634388,-83.47048,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.620842,-83.424615,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588958,-83.398885,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586878,-83.358266,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.553915,-83.311205,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.553915,-83.311205,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589804,-83.469856,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598667,-83.413459,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585039,-83.398735,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585039,-83.398735,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.502578,-83.298054,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.502733,-83.298228,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.634223,-83.470371,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.634223,-83.470371,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607793,-83.437558,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.594209,-83.391915,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585029,-83.398824,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585029,-83.398824,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587494,-83.363936,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.687539,-83.534708,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.5907,-83.469947,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.5907,-83.469947,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598546,-83.413689,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598893,-83.401897,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.553915,-83.311205,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.594149,-83.391929,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.594149,-83.391929,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58855,-83.363814,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587268,-83.363961,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587268,-83.363961,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587268,-83.363961,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60011,-83.408492,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60011,-83.408492,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575883,-83.342859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563234,-83.330475,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635352,-83.468263,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629343,-83.450408,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609578,-83.44864,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.5907,-83.469947,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60011,-83.408492,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58855,-83.363814,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575883,-83.342859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575883,-83.342859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629343,-83.450408,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.663783,-83.525456,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.672898,-83.526073,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.672898,-83.526073,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.672898,-83.526073,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.672898,-83.526073,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.56338,-83.49851,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563234,-83.330475,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563234,-83.330475,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.670658,-83.527124,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.634023,-83.470308,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600143,-83.408405,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600143,-83.408405,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590235,-83.370372,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590235,-83.370372,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642315,-83.506178,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592729,-83.384516,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592729,-83.384516,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592729,-83.384516,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592059,-83.379859,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586784,-83.358102,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586784,-83.358102,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586784,-83.358102,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.609926,-83.448611,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598891,-83.401945,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598891,-83.401945,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598891,-83.401945,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598891,-83.401945,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588627,-83.364057,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587088,-83.363984,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.587088,-83.363984,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563268,-83.330443,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563268,-83.330443,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563268,-83.330443,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563268,-83.330443,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.502578,-83.298054,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635349,-83.468245,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635349,-83.468245,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598905,-83.40175,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592164,-83.380279,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.554089,-83.311083,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.562736,-83.499592,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.562736,-83.499592,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563192,-83.498608,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563192,-83.498608,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.557824,-83.497415,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.594209,-83.391915,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592591,-83.384601,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58995,-83.370719,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58995,-83.370719,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607825,-83.437681,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.600065,-83.408523,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.672815,-83.526223,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589804,-83.469856,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589804,-83.469856,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.588508,-83.36353,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.575861,-83.342815,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.635289,-83.468322,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.623805,-83.416472,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629229,-83.450617,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629229,-83.450617,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642423,-83.506183,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.646773,-83.511457,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.608078,-83.448695,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.608078,-83.448695,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.608025,-83.44887,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60957,-83.44845,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563192,-83.498608,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.562736,-83.499592,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.557824,-83.497415,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585039,-83.398735,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585029,-83.398824,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585029,-83.398824,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.585029,-83.398824,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.598667,-83.413459,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592591,-83.384601,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592591,-83.384601,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592591,-83.384601,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592591,-83.384601,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58995,-83.370719,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.58995,-83.370719,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.563227,-83.330469,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.646827,-83.511536,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607793,-83.437558,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607793,-83.437558,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.607793,-83.437558,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60011,-83.408492,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.60011,-83.408492,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590065,-83.370603,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589647,-83.470012,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589647,-83.470012,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.589647,-83.470012,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590626,-83.470199,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.590626,-83.470199,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.629343,-83.450408,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.642394,-83.506181,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.594149,-83.391929,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592659,-83.384563,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.592137,-83.380176,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
Eurycea wilderae,35.586806,-83.358182,2012,Hocking et al. 2020,Supplementary Files,No
